packetsReceivedVideo,roundTripTimeAudio,bytesReceived,jitterAudio,bytesSentAudio,networkType,packetsReceivedAudio,bytesReceivedVideo,roomId,bytesSentVideo,date,bytesSent,packetsLostAudio,bytesReceivedAudio,availableOutgoingBitrate,time,jitterVideo,roundTripTimeVideo,packetsLostVideo,timestamp
13754,18.967,15555067,6,272564,4g,3880,14575072,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,9997305,2025-04-13 21:57:01.087000+00:00,10867664,0,273226,1381866,2025-04-13 21:57:01.227000+00:00,10.0,14.603,1,1744581421085.772
14161,18.508999999999997,16015253,5,279808,4g,3980,15007635,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,10295447,2025-04-13 21:57:03.087000+00:00,11189554,0,280597,1613943,2025-04-13 21:57:03.233000+00:00,14.0,11.322,1,1744581423085.197
14547,18.508999999999997,16453514,5,287034,4g,4080,15419020,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,10684666,2025-04-13 21:57:05.086000+00:00,11605601,0,288065,1879015,2025-04-13 21:57:05.230000+00:00,8.0,15.656,1,1744581425084.44
14951,18.508999999999997,16912091,3,294426,4g,4180,15849725,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,11091878,2025-04-13 21:57:07.086000+00:00,12040107,0,295689,2189783,2025-04-13 21:57:07.227000+00:00,10.0,30.502,1,1744581427083.963
15323,18.508999999999997,17335789,3,301915,4g,4280,16246552,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,11480296,2025-04-13 21:57:09.089000+00:00,12455686,0,303464,2439505,2025-04-13 21:57:09.229000+00:00,8.0,11.245999999999999,1,1744581429087.438
15746,10.254,17814007,4,309169,4g,4380,16696595,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,11910053,2025-04-13 21:57:11.089000+00:00,12913199,0,310783,2782746,2025-04-13 21:57:11.228000+00:00,5.0,10.329999999999998,1,1744581431087.348
16132,10.254,18252532,4,316375,4g,4480,17108290,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,12404199,2025-04-13 21:57:13.089000+00:00,13437557,0,317987,3043671,2025-04-13 21:57:13.744000+00:00,5.0,18.387,1,1744581433087.421
16524,21.468999999999998,18695035,4,323497,4g,4580,17523501,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,12882738,2025-04-13 21:57:15.088000+00:00,13945883,0,325250,3265751,2025-04-13 21:57:15.234000+00:00,6.0,10.924999999999999,1,1744581435086.334
16936,21.468999999999998,19160797,6,330565,4g,4680,17961451,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,13346886,2025-04-13 21:57:17.087000+00:00,14439272,0,332481,3439964,2025-04-13 21:57:17.234000+00:00,8.0,19.011999999999997,1,1744581437085.046
17321,26.352,19597837,4,337679,4g,4780,18371680,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,13802169,2025-04-13 21:57:19.089000+00:00,14923493,0,339802,3439964,2025-04-13 21:57:19.237000+00:00,5.0,19.698999999999998,1,1744581439087.181
17721,26.352,20050918,4,344859,4g,4880,18797312,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,14273839,2025-04-13 21:57:21.095000+00:00,15424807,0,347089,3613652,2025-04-13 21:57:21.246000+00:00,8.0,9.277,1,1744581441090.162
18108,9.613,20490914,8,351880,4g,4980,19210455,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,14726479,2025-04-13 21:57:23.091000+00:00,15905742,0,354280,3613652,2025-04-13 21:57:23.239000+00:00,22.0,15.685999999999998,1,1744581443088.794
18294,9.613,20708724,17,358851,4g,5080,19409153,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,15219063,2025-04-13 21:57:25.089000+00:00,16427339,0,361568,3613652,2025-04-13 21:57:25.234000+00:00,74.0,23.575,1,1744581445086.983
18748,9.613,21223391,8,365782,4g,5180,19894779,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,15750938,2025-04-13 21:57:27.090000+00:00,16990447,0,368765,3613652,2025-04-13 21:57:27.241000+00:00,51.0,25.97,1,1744581447088.324
19170,25.665,21705035,5,372665,4g,5280,20348164,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,16279525,2025-04-13 21:57:29.086000+00:00,17550133,0,375946,3613652,2025-04-13 21:57:29.241000+00:00,31.0,23.528999999999996,1,1744581449084.018
19531,25.665,22116323,5,379659,4g,5380,20733629,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,16747218,2025-04-13 21:57:31.091000+00:00,18047250,0,383175,3644937,2025-04-13 21:57:31.238000+00:00,23.0,12.725999999999999,1,1744581451088.671
19920,25.665,22558679,5,386632,4g,5480,21149275,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,17254524,2025-04-13 21:57:33.090000+00:00,18584907,0,390261,3644937,2025-04-13 21:57:33.236000+00:00,13.0,24.475,1,1744581453088.282
20337,29.175,23033360,4,393526,4g,5580,21596215,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,17707506,2025-04-13 21:57:35.090000+00:00,19066417,0,397378,3644937,2025-04-13 21:57:35.237000+00:00,8.0,21.773999999999997,1,1744581455088.179
20728,29.175,23473856,6,400442,4g,5680,22009399,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,18248075,2025-04-13 21:57:37.086000+00:00,19638830,0,405018,3644937,2025-04-13 21:57:37.241000+00:00,8.0,26.581,1,1744581457084.14
21113,29.175,23911794,7,407375,4g,5780,22420115,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,18779676,2025-04-13 21:57:39.089000+00:00,20201854,0,412602,3663912,2025-04-13 21:57:39.242000+00:00,19.0,37.506,1,1744581459086.987
